suspicious,1
cancel,1
illegal,1
refund,1
help desk,0.5
helpdesk,0.5
bitcoin,0.5
authorized,0.5
24 hours,0.25
USD,0.1
BTC,0.1
windows
coin
call us
geek squad
geeksquad
mcafee
antivirus
hack
microsoft
micro soft
support
department
tech
norton
